State,Year,BDPRP,CLPRB,ENPRP,GETCB,HYTCB,NCPRB,NGMPB,NUETB,PAPRB,REPRB,SOTCB,TEPRB,TETCB,WDEXB,WDPRB,WDTCB,WSTCB,WWPRB,WYTCB
CA,2016,1081.0,0.0,4717.0,107912.0,267194.0,767360.0,234094.0,197754.0,1064744.0,929692.0,267538.0,2426284.0,7647955.0,0.0,89236.0,89236.0,40332.0,129568.0,124715.0
CA,2017,1001.0,0.0,5051.0,108637.0,390292.0,957430.0,240221.0,187227.0,992385.0,1122218.0,340363.0,2542051.0,7766193.0,0.0,87833.0,87833.0,42714.0,130548.0,118138.0
CA,2018,1095.0,0.0,5170.0,108445.0,239714.0,857451.0,228906.0,190422.0,916715.0,1026274.0,381618.0,2362317.0,7865156.0,0.0,90644.0,90644.0,42714.0,133358.0,127674.0
CA,2019,1011.0,0.0,4632.0,99329.0,341549.0,968843.0,220789.0,168799.0,890882.0,1140051.0,405654.0,2420522.0,7790111.0,0.0,98358.0,98358.0,40974.0,139332.0,122311.0
CO,2015,0.0,403605.0,3479.0,759.0,15098.0,91789.0,1965188.0,0.0,698737.0,126586.0,6270.0,3194117.0,1501006.0,0.0,13804.0,13804.0,1133.0,14936.0,69662.0
CO,2016,0.0,270920.0,3413.0,759.0,17565.0,114808.0,1981005.0,0.0,663969.0,149600.0,9509.0,3065494.0,1470307.0,0.0,14233.0,14233.0,1098.0,15331.0,86977.0
CO,2017,0.0,320001.0,3477.0,759.0,17479.0,118027.0,2028824.0,0.0,744780.0,153379.0,13973.0,3246984.0,1477307.0,0.0,14434.0,14434.0,1090.0,15524.0,85816.0
CO,2018,0.0,293149.0,3457.0,759.0,16618.0,121433.0,2217310.0,0.0,966448.0,156998.0,15336.0,3633905.0,1527222.0,0.0,14728.0,14728.0,1102.0,15831.0,88720.0
CO,2019,0.0,270466.0,3287.0,759.0,16127.0,130306.0,2394039.0,0.0,1096198.0,167095.0,16780.0,3927798.0,1566652.0,0.0,16968.0,16968.0,1095.0,18063.0,96640.0
CT,2015,132.0,0.0,0.0,21.0,2819.0,5792.0,0.0,182083.0,0.0,33234.0,2952.0,215318.0,756746.0,0.0,15661.0,15661.0,11067.0,26728.0,0.0
CT,2016,275.0,0.0,0.0,21.0,2069.0,6336.0,0.0,173363.0,0.0,34249.0,4128.0,207612.0,724686.0,0.0,14933.0,14933.0,11485.0,26418.0,118.0
CT,2017,254.0,0.0,0.0,21.0,3060.0,8284.0,0.0,172570.0,0.0,32888.0,5086.0,205458.0,728349.0,0.0,12683.0,12683.0,10543.0,23225.0,117.0
CT,2018,423.0,0.0,0.0,21.0,5056.0,11668.0,0.0,176496.0,0.0,37572.0,6480.0,214068.0,756159.0,0.0,13893.0,13893.0,9715.0,23608.0,112.0
CT,2019,434.0,0.0,0.0,21.0,3811.0,11485.0,0.0,174730.0,0.0,37172.0,7545.0,211902.0,735517.0,0.0,14328.0,14328.0,9000.0,23328.0,109.0
DE,2015,0.0,0.0,0.0,430.0,0.0,1708.0,0.0,0.0,0.0,3517.0,1230.0,3517.0,284672.0,0.0,1044.0,1044.0,765.0,1809.0,48.0
DE,2016,0.0,0.0,0.0,430.0,0.0,1612.0,0.0,0.0,0.0,3105.0,1133.0,3105.0,280937.0,0.0,825.0,825.0,667.0,1493.0,49.0
DE,2017,0.0,0.0,0.0,430.0,0.0,1830.0,0.0,0.0,0.0,3269.0,1354.0,3269.0,280044.0,0.0,748.0,748.0,692.0,1439.0,46.0
DE,2018,0.0,0.0,0.0,430.0,0.0,1969.0,0.0,0.0,0.0,3389.0,1492.0,3389.0,300567.0,0.0,739.0,739.0,680.0,1419.0,47.0
DE,2019,0.0,0.0,0.0,430.0,0.0,2105.0,0.0,0.0,0.0,3611.0,1628.0,3611.0,298616.0,0.0,789.0,789.0,716.0,1506.0,47.0
FL,2015,119.0,0.0,0.0,10056.0,2277.0,42466.0,1162.0,294099.0,12623.0,223761.0,30133.0,531646.0,4324701.0,0.0,111608.0,111608.0,69043.0,180650.0,0.0
FL,2016,103.0,0.0,0.0,10056.0,1611.0,42513.0,1062.0,306658.0,11066.0,223405.0,30846.0,542192.0,4362567.0,9939.0,108866.0,98926.0,71468.0,180333.0,0.0
FL,2017,157.0,0.0,0.0,10056.0,2011.0,50264.0,1048.0,304840.0,11005.0,236674.0,38197.0,553568.0,4345055.0,9840.0,109274.0,99435.0,76280.0,185555.0,0.0
FL,2018,335.0,0.0,0.0,10056.0,2117.0,65529.0,1123.0,306461.0,10493.0,247001.0,53356.0,565077.0,4441047.0,11096.0,110027.0,98931.0,69626.0,179653.0,0.0
FL,2019,169.0,0.0,0.0,10056.0,1869.0,80308.0,1295.0,303946.0,11037.0,248107.0,68383.0,564385.0,4371666.0,11065.0,108140.0,97075.0,58739.0,166879.0,0.0
GA,2015,229.0,0.0,2334.0,315.0,27804.0,30579.0,0.0,353883.0,0.0,269514.0,2461.0,623396.0,2978591.0,0.0,195948.0,195948.0,28423.0,224371.0,0.0
GA,2016,326.0,0.0,2700.0,315.0,31137.0,41707.0,0.0,360633.0,0.0,282334.0,10256.0,642967.0,2951822.0,15655.0,212606.0,196951.0,10855.0,223461.0,0.0
GA,2017,320.0,0.0,2530.0,315.0,22201.0,43232.0,0.0,352560.0,0.0,275016.0,20716.0,627576.0,2925877.0,17323.0,207534.0,190211.0,8082.0,215617.0,0.0
GA,2018,254.0,0.0,2413.0,315.0,33656.0,54929.0,0.0,359262.0,0.0,288295.0,20958.0,647556.0,3003699.0,19163.0,211205.0,192042.0,7007.0,218212.0,0.0
GA,2019,200.0,0.0,2792.0,315.0,35230.0,57849.0,0.0,350759.0,0.0,301842.0,22304.0,652601.0,2955875.0,19523.0,220438.0,200915.0,6568.0,227006.0,0.0
HI,2015,70.0,0.0,0.0,2154.0,1129.0,17353.0,0.0,0.0,0.0,24957.0,8360.0,24957.0,298992.0,0.0,38.0,38.0,7182.0,7220.0,5710.0
HI,2016,83.0,0.0,0.0,2409.0,839.0,18961.0,0.0,0.0,0.0,27593.0,9813.0,27593.0,300390.0,0.0,35.0,35.0,8146.0,8181.0,5900.0
HI,2017,88.0,0.0,0.0,2980.0,609.0,21070.0,0.0,0.0,0.0,26964.0,12579.0,26964.0,308376.0,0.0,106.0,106.0,5310.0,5415.0,4902.0
HI,2018,94.0,0.0,0.0,1010.0,879.0,20439.0,0.0,0.0,0.0,26299.0,13070.0,26299.0,306342.0,0.0,94.0,94.0,5257.0,5351.0,5480.0
HI,2019,89.0,0.0,0.0,8.0,842.0,19884.0,0.0,0.0,0.0,25273.0,14320.0,25273.0,307764.0,0.0,94.0,94.0,4812.0,4905.0,4714.0
IA,2015,5762.0,0.0,94058.0,1281.0,8948.0,177203.0,0.0,54836.0,0.0,766862.0,419.0,821698.0,1507520.0,0.0,6967.0,6967.0,14458.0,21425.0,166555.0
IA,2016,7071.0,0.0,95983.0,1281.0,8464.0,195637.0,0.0,49185.0,0.0,801820.0,587.0,851005.0,1534622.0,0.0,6107.0,6107.0,14417.0,20524.0,185305.0
IA,2017,6810.0,0.0,100558.0,1281.0,9526.0,208620.0,0.0,54528.0,0.0,837092.0,905.0,891620.0,1572298.0,0.0,5936.0,5936.0,12140.0,18077.0,196907.0
IA,2018,8690.0,0.0,104035.0,1281.0,8420.0,205217.0,0.0,51181.0,0.0,865784.0,1291.0,916965.0,1633531.0,0.0,7254.0,7254.0,12166.0,19420.0,194225.0
IA,2019,8143.0,0.0,104135.0,1281.0,7091.0,244222.0,0.0,54671.0,0.0,901961.0,1604.0,956633.0,1645247.0,0.0,8298.0,8298.0,12031.0,20330.0,234246.0
ID,2015,0.0,0.0,1554.0,2207.0,81603.0,105046.0,1192.0,0.0,172.0,153503.0,81.0,154866.0,540252.0,0.0,32130.0,32130.0,7455.0,39585.0,21156.0
ID,2016,0.0,0.0,1615.0,2167.0,83395.0,109756.0,5208.0,0.0,1230.0,151509.0,390.0,157946.0,540164.0,0.0,31050.0,31050.0,1497.0,32547.0,23804.0
ID,2017,0.0,0.0,1643.0,2280.0,98306.0,128436.0,4192.0,0.0,521.0,173010.0,4405.0,177723.0,557104.0,0.0,33266.0,33266.0,1941.0,35206.0,23444.0
ID,2018,0.0,0.0,1633.0,2259.0,100366.0,132184.0,2113.0,0.0,502.0,178935.0,5388.0,181550.0,556467.0,0.0,36036.0,36036.0,1391.0,37427.0,24172.0
ID,2019,0.0,0.0,1571.0,2354.0,92017.0,122586.0,1139.0,0.0,125.0,169244.0,5500.0,170508.0,565998.0,0.0,36240.0,36240.0,1471.0,37711.0,22715.0
IL,2015,3513.0,1252879.0,37062.0,2042.0,1160.0,105293.0,2210.0,1017377.0,54426.0,355359.0,1938.0,2682250.0,3920125.0,0.0,8185.0,8185.0,11225.0,19411.0,100154.0
IL,2016,3423.0,977131.0,41078.0,2042.0,1226.0,103746.0,2317.0,1031331.0,49432.0,375139.0,2033.0,2435349.0,3925630.0,0.0,7597.0,7597.0,10995.0,18592.0,98445.0
IL,2017,3260.0,1079624.0,39548.0,2042.0,1153.0,118502.0,2260.0,1016522.0,47581.0,378606.0,2285.0,2524593.0,3890442.0,0.0,7430.0,7430.0,9450.0,16880.0,113023.0
IL,2018,3374.0,1095887.0,36449.0,2042.0,1334.0,114443.0,2596.0,1025651.0,48045.0,359817.0,2739.0,2531996.0,4017644.0,0.0,8890.0,8890.0,10065.0,18955.0,108328.0
IL,2019,3196.0,1014448.0,35260.0,2042.0,1103.0,135410.0,2279.0,1030996.0,46969.0,372731.0,3503.0,2467422.0,3951620.0,0.0,9268.0,9268.0,9841.0,19109.0,128763.0
IN,2015,2179.0,776493.0,25175.0,4647.0,3553.0,51990.0,7446.0,0.0,12686.0,242141.0,1714.0,1038766.0,2826490.0,0.0,18061.0,18061.0,16538.0,34599.0,42077.0
IN,2016,2389.0,654493.0,27001.0,4647.0,3935.0,56205.0,6441.0,0.0,10397.0,257458.0,2391.0,928789.0,2777075.0,0.0,17951.0,17951.0,16378.0,34328.0,45232.0
IN,2017,2340.0,713397.0,27471.0,4647.0,2820.0,57387.0,6168.0,0.0,10181.0,260439.0,3032.0,990185.0,2674436.0,0.0,17548.0,17548.0,16148.0,33696.0,46889.0
IN,2018,2325.0,781628.0,28312.0,4647.0,2027.0,59866.0,5292.0,0.0,9609.0,271248.0,3693.0,1067776.0,2806168.0,0.0,20797.0,20797.0,16323.0,37120.0,49500.0
IN,2019,2105.0,712235.0,25137.0,4647.0,2280.0,66440.0,5306.0,0.0,8997.0,257250.0,4160.0,983789.0,2779091.0,0.0,20438.0,20438.0,15754.0,36192.0,55354.0
KS,2015,53.0,4387.0,11596.0,974.0,177.0,103733.0,318548.0,90254.0,260015.0,177374.0,87.0,850580.0,1101677.0,0.0,4487.0,4487.0,2671.0,7158.0,102495.0
KS,2016,31.0,617.0,11854.0,974.0,282.0,131653.0,281646.0,86245.0,217116.0,205800.0,125.0,791424.0,1092806.0,0.0,3973.0,3973.0,2418.0,6391.0,130272.0
KS,2017,27.0,0.0,12160.0,974.0,269.0,172818.0,257200.0,111367.0,205026.0,248533.0,231.0,822127.0,1075697.0,0.0,3566.0,3566.0,2664.0,6230.0,171344.0
KS,2018,13.0,0.0,12526.0,974.0,241.0,173694.0,237402.0,95854.0,198084.0,253321.0,345.0,784661.0,1136232.0,0.0,4874.0,4874.0,3171.0,8046.0,172134.0
KS,2019,598.0,0.0,12826.0,974.0,182.0,189733.0,212665.0,96565.0,189202.0,273764.0,471.0,772196.0,1129559.0,0.0,4777.0,4777.0,2947.0,7724.0,188105.0
KY,2015,833.0,1486019.0,652.0,2712.0,31717.0,34627.0,108080.0,0.0,16362.0,75319.0,198.0,1685780.0,1730308.0,0.0,30971.0,30971.0,1475.0,32445.0,0.0
KY,2016,1041.0,1041121.0,708.0,2712.0,32108.0,35186.0,102591.0,0.0,14849.0,76971.0,366.0,1235531.0,1704124.0,0.0,30577.0,30577.0,1514.0,32092.0,0.0
KY,2017,1102.0,1015108.0,713.0,2712.0,41514.0,44707.0,101295.0,0.0,14176.0,89649.0,481.0,1220228.0,1662333.0,0.0,33288.0,33288.0,1600.0,34889.0,0.0
KY,2018,1076.0,955471.0,700.0,2712.0,40220.0,43651.0,96085.0,0.0,12924.0,90231.0,719.0,1154710.0,1744818.0,0.0,34301.0,34301.0,2435.0,36736.0,0.0
KY,2019,1076.0,852990.0,844.0,2712.0,37682.0,41221.0,89339.0,0.0,14273.0,89293.0,827.0,1045895.0,1723238.0,0.0,34506.0,34506.0,2908.0,37414.0,0.0
LA,2015,0.0,46879.0,0.0,1842.0,9310.0,12672.0,1916410.0,160015.0,364396.0,132249.0,1521.0,2619950.0,3911919.0,0.0,106587.0,106587.0,12990.0,119577.0,0.0
LA,2016,0.0,38499.0,0.0,1842.0,10183.0,13876.0,1893803.0,179391.0,328643.0,154742.0,1851.0,2595078.0,4030644.0,6011.0,128495.0,122484.0,12371.0,140865.0,0.0
LA,2017,0.0,27892.0,0.0,1842.0,8349.0,12149.0,2238355.0,161171.0,295015.0,142086.0,1958.0,2864519.0,4208312.0,5951.0,116924.0,110973.0,13013.0,129937.0,0.0
LA,2018,0.0,20436.0,0.0,1842.0,10741.0,14773.0,2942607.0,179330.0,274413.0,143245.0,2189.0,3560031.0,4245610.0,6711.0,113857.0,107146.0,14615.0,128472.0,0.0
LA,2019,0.0,21251.0,0.0,1842.0,12161.0,16254.0,3330380.0,145993.0,261527.0,133669.0,2251.0,3892819.0,4282045.0,6692.0,102895.0,96203.0,14520.0,117414.0,0.0
MA,2015,7.0,0.0,0.0,859.0,7709.0,23103.0,0.0,52236.0,0.0,62787.0,12535.0,115022.0,1468270.0,0.0,20876.0,20876.0,18772.0,39648.0,2000.0
MA,2016,10.0,0.0,0.0,859.0,6578.0,26927.0,0.0,56628.0,0.0,65616.0,17495.0,122244.0,1426034.0,0.0,18928.0,18928.0,19705.0,38633.0,1995.0
MA,2017,20.0,0.0,0.0,859.0,9558.0,34093.0,0.0,52788.0,0.0,68467.0,21532.0,121256.0,1431083.0,0.0,14920.0,14920.0,19345.0,34264.0,2143.0
MA,2018,20.0,0.0,0.0,859.0,10320.0,41368.0,0.0,46437.0,0.0,75295.0,28177.0,121731.0,1469311.0,0.0,14310.0,14310.0,19505.0,33816.0,2012.0
MA,2019,17.0,0.0,0.0,859.0,8687.0,40935.0,0.0,22734.0,0.0,74190.0,29511.0,96924.0,1464995.0,0.0,16238.0,16238.0,16923.0,33161.0,1877.0
MD,2015,0.0,45587.0,0.0,570.0,15127.0,24122.0,40.0,153140.0,0.0,47614.0,4375.0,246381.0,1424201.0,0.0,14425.0,14425.0,9067.0,23492.0,4050.0
MD,2016,0.0,37859.0,0.0,570.0,12853.0,25123.0,36.0,154377.0,0.0,48237.0,6834.0,240509.0,1386648.0,0.0,14188.0,14188.0,8927.0,23115.0,4866.0
MD,2017,0.0,42804.0,0.0,570.0,18108.0,33197.0,34.0,158004.0,0.0,55339.0,9348.0,256180.0,1346703.0,0.0,12954.0,12954.0,9188.0,22142.0,5172.0
MD,2018,0.0,30464.0,0.0,570.0,25772.0,42987.0,14.0,156699.0,0.0,65963.0,11456.0,253139.0,1391698.0,0.0,14204.0,14204.0,8772.0,22975.0,5189.0
MD,2019,0.0,34661.0,0.0,570.0,19485.0,37802.0,14.0,156765.0,0.0,55557.0,13115.0,246996.0,1355227.0,0.0,10199.0,10199.0,7556.0,17755.0,4633.0
ME,2015,8.0,0.0,0.0,72.0,31317.0,43787.0,0.0,0.0,0.0,161418.0,323.0,161418.0,424754.0,0.0,113815.0,113815.0,3773.0,117588.0,12075.0
ME,2016,11.0,0.0,0.0,72.0,27693.0,43575.0,0.0,0.0,0.0,141943.0,418.0,141943.0,392025.0,0.0,94739.0,94739.0,3570.0,98309.0,15391.0
ME,2017,10.0,0.0,0.0,72.0,31221.0,53363.0,0.0,0.0,0.0,148038.0,577.0,148038.0,384730.0,0.0,91105.0,91105.0,3515.0,94619.0,21493.0
ME,2018,10.0,0.0,0.0,72.0,29689.0,52233.0,0.0,0.0,0.0,149435.0,765.0,149435.0,388172.0,0.0,93851.0,93851.0,3295.0,97146.0,21707.0
ME,2019,9.0,0.0,0.0,72.0,31162.0,54339.0,0.0,0.0,0.0,148456.0,897.0,148456.0,384261.0,0.0,91222.0,91222.0,2848.0,94070.0,22208.0
MI,2015,131.0,0.0,6713.0,5193.0,13971.0,64720.0,114061.0,306773.0,37504.0,223234.0,853.0,681571.0,2826679.0,0.0,98215.0,98215.0,21266.0,119481.0,44702.0
MI,2016,239.0,0.0,6824.0,5193.0,14442.0,64076.0,108450.0,329999.0,32266.0,216674.0,1089.0,687389.0,2806190.0,0.0,90056.0,90056.0,22336.0,112392.0,43351.0
MI,2017,234.0,0.0,8158.0,5193.0,15468.0,70181.0,102619.0,338675.0,31597.0,225919.0,1692.0,698809.0,2798055.0,0.0,85599.0,85599.0,22352.0,107951.0,47827.0
MI,2018,310.0,0.0,8595.0,5193.0,14286.0,71467.0,95841.0,318655.0,31058.0,237163.0,2304.0,682717.0,2911393.0,0.0,92197.0,92197.0,22748.0,114945.0,49683.0
MI,2019,247.0,0.0,8186.0,5193.0,14691.0,74520.0,90423.0,343639.0,29493.0,233688.0,2758.0,697242.0,2880159.0,0.0,92140.0,92140.0,19054.0,111194.0,51878.0
MN,2015,1429.0,0.0,27718.0,1075.0,7912.0,100589.0,0.0,125900.0,0.0,345949.0,473.0,471848.0,1813635.0,0.0,65241.0,65241.0,14129.0,79370.0,91129.0
MN,2016,1762.0,0.0,27920.0,1075.0,11157.0,104583.0,0.0,144970.0,0.0,351303.0,645.0,496273.0,1838918.0,0.0,63244.0,63244.0,14720.0,77964.0,91706.0
MN,2017,1654.0,0.0,28509.0,1075.0,11587.0,121517.0,0.0,145426.0,0.0,363504.0,6247.0,508930.0,1862210.0,0.0,56284.0,56284.0,14153.0,70437.0,102608.0
MN,2018,1799.0,0.0,29187.0,1075.0,9591.0,118640.0,0.0,152657.0,0.0,366439.0,10437.0,519096.0,1940174.0,0.0,58812.0,58812.0,12585.0,71397.0,97537.0
MN,2019,1692.0,0.0,30107.0,1075.0,9404.0,120386.0,0.0,147280.0,0.0,366164.0,12265.0,513444.0,1900531.0,0.0,56250.0,56250.0,8843.0,65093.0,97642.0
MO,2015,3237.0,3178.0,6506.0,352.0,14864.0,26386.0,1.0,109182.0,852.0,105635.0,1542.0,218848.0,1831407.0,0.0,22108.0,22108.0,2417.0,24526.0,9627.0
MO,2016,3872.0,5125.0,6646.0,352.0,11711.0,24297.0,1.0,98630.0,704.0,105876.0,1876.0,210336.0,1781656.0,0.0,20211.0,20211.0,2441.0,22652.0,10357.0
MO,2017,4066.0,5321.0,6828.0,352.0,10886.0,32395.0,1.0,86853.0,664.0,116838.0,2433.0,209676.0,1742207.0,0.0,19183.0,19183.0,4235.0,23417.0,18724.0
MO,2018,5056.0,5654.0,6837.0,352.0,7542.0,36681.0,1.0,111401.0,548.0,131345.0,2980.0,248948.0,1860863.0,0.0,24807.0,24807.0,3355.0,28161.0,25807.0
MO,2019,4719.0,4227.0,6597.0,352.0,19733.0,49069.0,1.0,95961.0,484.0,140354.0,3534.0,241027.0,1805708.0,0.0,24120.0,24120.0,3946.0,28066.0,25450.0
MS,2015,349.0,34528.0,703.0,958.0,0.0,988.0,60476.0,122511.0,142485.0,60419.0,29.0,420420.0,1085042.0,0.0,51479.0,51479.0,2042.0,53521.0,0.0
MS,2016,1474.0,32349.0,1181.0,958.0,0.0,1031.0,50418.0,61680.0,116649.0,78133.0,73.0,339228.0,1071689.0,9243.0,60285.0,51042.0,2081.0,62366.0,0.0
MS,2017,1239.0,32019.0,1199.0,958.0,0.0,1861.0,39719.0,77027.0,101772.0,71032.0,903.0,321569.0,1068298.0,7511.0,53355.0,45845.0,2243.0,55599.0,0.0
MS,2018,1548.0,31979.0,1191.0,958.0,0.0,4039.0,36499.0,72343.0,96734.0,76639.0,3080.0,314194.0,1105822.0,8301.0,55962.0,47660.0,1432.0,57394.0,0.0
MS,2019,1070.0,28423.0,0.0,958.0,0.0,3966.0,34280.0,115202.0,96171.0,66401.0,3007.0,340476.0,1093230.0,8278.0,55062.0,46784.0,1563.0,56625.0,0.0
MT,2015,0.0,746222.0,0.0,337.0,92144.0,110876.0,55943.0,0.0,163249.0,125018.0,85.0,1090432.0,403641.0,0.0,13759.0,13759.0,383.0,14143.0,18309.0
MT,2016,1.0,572787.0,0.0,337.0,93082.0,113287.0,52130.0,0.0,132625.0,128095.0,110.0,885637.0,406422.0,0.0,14414.0,14414.0,392.0,14805.0,19758.0
MT,2017,0.0,624772.0,0.0,337.0,100850.0,121314.0,50821.0,0.0,118586.0,136249.0,275.0,930429.0,422863.0,0.0,14543.0,14543.0,389.0,14933.0,19852.0
MT,2018,0.0,684031.0,0.0,337.0,103828.0,124266.0,47712.0,0.0,123027.0,143018.0,497.0,997789.0,436316.0,0.0,18334.0,18334.0,417.0,18751.0,19604.0
MT,2019,0.0,608890.0,0.0,337.0,89090.0,111051.0,47967.0,0.0,130946.0,129217.0,489.0,917020.0,445912.0,0.0,17772.0,17772.0,393.0,18165.0,21135.0
NC,2015,47.0,0.0,0.0,967.0,44191.0,59028.0,0.0,440248.0,0.0,170008.0,13870.0,610256.0,2595919.0,0.0,101592.0,101592.0,9132.0,110724.0,0.0
NC,2016,78.0,0.0,0.0,967.0,40779.0,75202.0,0.0,447500.0,0.0,199520.0,33397.0,647020.0,2619589.0,17887.0,114422.0,96534.0,9472.0,123894.0,58.0
NC,2017,41.0,0.0,0.0,967.0,35175.0,89578.0,0.0,443192.0,0.0,215578.0,49099.0,658771.0,2575147.0,17708.0,115730.0,98021.0,10048.0,125778.0,4337.0
NC,2018,37.0,0.0,0.0,967.0,60136.0,123878.0,0.0,439915.0,0.0,248825.0,57834.0,688740.0,2685032.0,19969.0,115308.0,95339.0,9439.0,124748.0,4941.0
NC,2019,35.0,0.0,0.0,967.0,55084.0,129772.0,0.0,437683.0,0.0,254022.0,69062.0,691705.0,2656262.0,19912.0,113628.0,93716.0,10433.0,124061.0,4659.0
ND,2015,1573.0,392183.0,8626.0,978.0,19516.0,81127.0,678977.0,0.0,2456200.0,141748.0,7.0,3669109.0,608353.0,0.0,865.0,865.0,1971.0,2835.0,60627.0
ND,2016,1703.0,399856.0,9884.0,978.0,17652.0,94079.0,766865.0,0.0,2161886.0,162635.0,7.0,3491242.0,583657.0,0.0,1021.0,1021.0,1928.0,2949.0,75443.0
ND,2017,1912.0,394022.0,12205.0,978.0,23789.0,129426.0,857330.0,0.0,2235455.0,212086.0,7.0,3698893.0,633995.0,0.0,839.0,839.0,1837.0,2676.0,104653.0
ND,2018,1796.0,399835.0,12242.0,978.0,28952.0,127650.0,993022.0,0.0,2627271.0,209189.0,8.0,4229317.0,663153.0,0.0,837.0,837.0,1057.0,1894.0,97712.0
ND,2019,1789.0,361946.0,12407.0,978.0,28312.0,129152.0,1187235.0,0.0,2949752.0,211395.0,11.0,4710328.0,683875.0,0.0,839.0,839.0,1014.0,1853.0,99852.0
NE,2015,23.0,0.0,46646.0,1212.0,15702.0,46594.0,504.0,107976.0,15419.0,317158.0,41.0,441057.0,857967.0,0.0,2958.0,2958.0,1203.0,4161.0,29639.0
NE,2016,638.0,0.0,48878.0,1212.0,7906.0,44275.0,557.0,97798.0,12560.0,330919.0,90.0,441834.0,870370.0,0.0,2843.0,2843.0,1663.0,4506.0,35067.0
